business_id,positive,negative,proportion,stars
nsNONDHbV7Vudqh21uicqw,57,4,0.9344262295081968,3.5
F06m2yQSPHIrb1IT7heYeQ,3,1,0.75,4.0
c_FTil8s5PS2l_YJDQAXhA,0,0,,4.0
vAbRNF0hJt91oCUpm_sdKw,3,1,0.75,3.5
z8H4Mdzl4jS9pYswj6Jf9w,0,0,,3.5
Ouh38adC9WbCRSSyYGtL3Q,0,0,,3.0
ZCXjNG1EBFiKKMtR9DOTGg,1,0,1.0,4.0
arv3T_av9OoVo3SvxV4TXw,0,0,,4.5
hCsJv234v62MgdsUU1j8dQ,14,1,0.9333333333333333,3.5
M18VeJ8ck6Njw_pnyaRxOQ,6,0,1.0,3.5
QUjJmpTQvGus8WfYq1dtOw,0,0,,4.0
hTdJAjSZtHWwqqh5cCeAfA,2,0,1.0,3.0
i7_JPit-2kAbtRTLkic2jA,2,0,1.0,4.0
Ib2-QQytp9eqwaOgY_zeYw,0,0,,4.0
4gwh0q7JsdzHIm_pdYUlZg,0,0,,4.5
uRybQLCYWkC6N19MhaHf_w,0,0,,4.5
S-oLPRdhlyL5HAknBKTUcQ,5,2,0.7142857142857143,4.5
LYWbyu1EQM2o5hwHG5_Ldg,54,5,0.9152542372881356,3.5
TSGBM2z5BTeJvYQAznz8Fg,18,4,0.8181818181818182,3.5
rvnTFEq7R2ZHg0_CYbBNFw,171,35,0.8300970873786407,3.5
78hGCrQ6wLA2yh8zMywnmw,0,0,,3.5
4v7dr2o5qXsHVGh9tM1KLA,0,0,,4.0
YyY4DFr-OFtpN2ThrLHTAQ,4,0,1.0,3.0
5WOE18ldtQ1U0MK5fN2HGQ,0,0,,4.0
h36qA5gnNTgByhxWx1aH-Q,5,1,0.8333333333333334,3.5
I6oxEn1HT41S2GPrDKPPvA,1,0,1.0,3.0
X7BA_EijhAWYCNuMiyNgHw,3,0,1.0,4.5
XThAmlwDIKoaG6IKrmuLyQ,0,0,,3.0
W7hCuNdn2gzehta6eSHzgQ,0,0,,2.0
lkM72Y21bjBqUGaW7iL7tQ,1,0,1.0,3.0
7HrCELR6uv2HkgL7aT_hcQ,0,0,,4.0
agWZA6ajLvu6MfFySNBzZw,4,1,0.8,3.5
kLw_FmSiEqYH-MtFhDIUFQ,9,1,0.9,3.5
TXiEgINSZ75d3EtvLvkc4Q,0,0,,3.0
Ak08F6RqjHYmVCzweBbTrQ,1,0,1.0,3.5
vx4YAA02Qz6khRD1fZ1MFA,2,0,1.0,3.5
YRyYbOSwvHkZsZOLv98oQg,22,1,0.9565217391304348,4.0
M9zu5KTyVwVC-45Mn8Wp0g,3,0,1.0,4.0
ibFdignja_hNpgCjDYP7Ug,0,0,,4.0
g-I48SaHtdIGR5ZEoVeNFw,1,0,1.0,3.5
dyq9my28t5NW8N-6s8OgfA,5,0,1.0,3.5
wZvSsHFU0NdyQ03625kh6g,3,0,1.0,3.5
BJW6rCMoWcn8fDFhbMVyEQ,0,0,,4.0
ibkwcLZwaJ1pnPJVaI_-uA,1,0,1.0,4.0
7OANCScfnOAGFsy-yuVjLA,3,0,1.0,4.5
bQ_wtZvMb__OhprY5bF9aQ,366,16,0.9581151832460733,4.0
3dw6xhzG08htY5HcL2OjeA,27,44,0.38028169014084506,3.5
_LL6zdQBWKIAbNKeg3uBFA,0,0,,3.5
2VtTzskzFcwVnXgGYsY1lQ,4,1,0.8,3.5
LrxDRg8SQdgHMoz3TSAYFg,0,0,,3.0
EhuKnhTKJTm_EZ_QGe7PvQ,0,1,0.0,3.5
cemMv5hvZZPj-_1V4xT9rQ,3,0,1.0,4.5
IfUkm42SB9D0m_ZbkQ711A,0,0,,4.0
viB8KE-lqVzuaeyh6M4Xhw,0,0,,3.0
d1_Ko1DQ4QyB9BjnCFjVLw,0,0,,3.5
krysT2aEJWNoEUYFF7JmkA,0,0,,3.5
RZFryvOkznd4jtpj8PbSzg,3,0,1.0,4.0
LV-oONzEA22qiBEFK1sckA,9,1,0.9,3.5
AtxhcA7jzbAktzxvo0qYIw,3,0,1.0,2.5
p3YqOYELqXtLyHz9T49p_w,74,3,0.961038961038961,4.0
k2nKYEvhEFprPxqQfTxDuQ,0,0,,4.0
IEJFia0wQX7UezfXsenI5g,0,0,,2.5
cfSuc4q7pQLF28mMbx1MRg,0,0,,4.0
Fwt0ia7H80q_mHLvrf1gzQ,9,3,0.75,3.0
ovtlrcsVRlgZZQUlHs_ovw,4,1,0.8,3.5
NXN_rVXsvJJVgm47k99Gtw,16,0,1.0,4.5
7ra_3K_ZebXNjMpaC6yVow,0,0,,4.0
u4sTiCzVeIHZY8OlaL346Q,0,0,,4.5
Mi5uhdFB9OJteXPd0_IKfw,0,0,,3.5
Plgl3kUGQHGqaZ-DESTYCA,0,0,,4.0
aKEEQqL1UFMieilnylI1gw,11,0,1.0,3.5
bvGdqJ-SeGdIHX-HEabwlg,2,0,1.0,4.5
WVCSiyXjEORiWEet8asURA,0,0,,3.5
5QNXZcclknB2PkfeN7FJWQ,45,1,0.9782608695652174,4.0
LPCFfrQow0kl7EABuM7VDA,6,1,0.8571428571428571,4.0
utC9M5BetVY6GECRyZeLEw,0,0,,4.0
fdS9moyk-R84-DgY5xrCRg,0,0,,3.0
COgwFthJpS4We16W5Gf4lw,0,0,,4.0
dPxZI9lrKTl5dvFfnb1_Ig,0,0,,4.5
Y1WIH4jstH846oWcDnoZLw,1,1,0.5,4.0
ghDNHpqETRJGxG5iUtaZtw,12,1,0.9230769230769231,3.5
MNaPOkqm2vKeNG8EqkZWCg,1,0,1.0,3.5
qpcZSHPLb8gTCI2T0XSYsA,9,0,1.0,4.0
tQm5R5UsWBzxsOGLPjfLJQ,0,0,,3.5
EHIUp6lUabQCtQ4SVZitQw,2,0,1.0,4.0
Snfb8_wVuswY0IdWgoWAKw,1,0,1.0,3.5
wT1mRdUeZRNgMB81s3dJDw,0,0,,3.5
3u4AsqA8glBmGuxtNx5mdQ,1,1,0.5,3.5
i1Xkm22_96GNVVOXSUoL0A,31,1,0.96875,3.5
vJvEKFtQ8Am95tWEkiwOGA,7,1,0.875,4.0
Zsz_dLOEwihJHvMTK9a8Vg,0,0,,4.5
ZIUs7gncPOX0OXr1ZYviAQ,12,1,0.9230769230769231,3.5
6ZMrT3rIB2XedgZ4SBu9sQ,1,0,1.0,4.0
ieMz5kx4JFm0g0bmPzCC-A,1,0,1.0,3.0
pa2Y633N7lG7SHCIriE8GQ,0,0,,3.0
jfmyj519pg2flxGEQ2xdPg,8,1,0.8888888888888888,3.5
id0K2DhGNocMRMoBcvCsyg,1,1,0.5,4.5
YavRvjbLsvh4DYDJPAfJIA,1,0,1.0,3.5
Wg4jlAgOUB51aX1c3ex9GQ,0,0,,4.0
tSzIHI6ioblP1WEQAQNbhw,2,0,1.0,3.5
7ABOYoF6DeUnX-jTYH14wA,3,0,1.0,3.5
uU8up3hGwW9qnzQD1HZsMQ,1,1,0.5,3.5
ym5FOqL6tGbgynzwKMHZuw,242,24,0.9097744360902256,3.5
faTB5Lg-blm8MG-y6KUOrg,0,1,0.0,4.5
QUH62pA1CN0LiuIF1pPJnQ,2,0,1.0,4.0
PMI_22D7bl8MMI6mCqN2qQ,2,2,0.5,3.5
x9SL1nCaUYM4JP91UrVkxQ,2,0,1.0,3.5
E6tGAYZ2J1EIwCDHtVI1yg,1,0,1.0,3.5
oamNMwd8kKOmrTu3C6qOeg,0,0,,3.5
THsmhy9NXI6WOEhVnrv01A,1,0,1.0,3.5
T_YWS3Rp7-iu69VS5jcQPg,0,0,,4.0
cNz2tTTAPmdeAq6HnGeo8w,6,1,0.8571428571428571,3.0
Z6_gRH_m8FQlKgsNkZKmTg,1,0,1.0,3.5
q-zZgXKAQFLEgMp9ZNllgQ,2,1,0.6666666666666666,4.0
gVILTnDFDsVuVdxFVkRK7A,4,0,1.0,4.0
dgtnRh4A3kowZz_b7AgZqQ,0,2,0.0,3.5
9sbXPpRC_wDhCsp7qG2PDw,1,0,1.0,3.5
aRbUf7je5wv5ihTrB4vDhA,3,0,1.0,4.0
pyqnGlIfP9Zw8LLxBjyAiA,13,0,1.0,4.0
CtgMikdX5pWr6o6_Ujydrg,0,0,,4.5
BsvCTCVG7lrzXZ68VyyIcg,0,0,,4.0
7GSBz8XKGkX0f1XRJwBH_Q,2,0,1.0,3.5
9_OPjioLbD9Q_zAeHfv6kw,15,0,1.0,3.5
dJnF_GUWdoX3tUucpKbYMg,0,0,,2.5
PdfyzKoGrCoFFhPlnOpqfw,0,0,,3.5
stK7zVTmMar1ThpzT0Wjvg,6,0,1.0,4.0
cNNOcuykCG0yNDzevqBKIg,5,1,0.8333333333333334,2.5
vx5CbYuuIq_CHxjov5kj1w,4,0,1.0,4.5
5zDP3Y2hdh6GJL9DVbQ2KA,4,0,1.0,4.0
uUvnimNxg15Ds9r0SC3oMg,1,0,1.0,3.0
PZjUi1svogVLSwhy-mBpNA,5,0,1.0,4.0
zIfCWjZ0RAe8YVMSPZdOdA,1,0,1.0,3.0
HaPwC4nxs6RPfe1pAQkQ4A,11,1,0.9166666666666666,4.0
POiWEckMIOqX7TgBxXgCzw,0,0,,4.0
lweobd-AOEP1lYNTfhuHhQ,0,0,,4.0
mLeAFPQ9fy5pYCTp0xjJkQ,5,0,1.0,4.0
PAJlmByrU8zAB3WsXxA30Q,0,0,,3.5
ekdXu37aegXyIE2OhP2fQw,0,0,,3.5
jOJaJatp88cqnkVo8D8RJg,5,2,0.7142857142857143,4.0
XNboW0mRBApLxIzoXvhHNA,10,1,0.9090909090909091,3.5
VAEMdy7M4Cm0fn_Itteemw,2,0,1.0,4.0
PSRZaGGxXmOmabL2si8pKw,1,0,1.0,3.5
nveeiYhDhj0WJu1JUmx9fw,2,0,1.0,4.0
eJab5373h0eZiOYnMPG4dg,0,0,,4.0
iBvF9Oy9UdOrXvTlxNHyqw,0,0,,4.0
rNqSjfRM09T-VOjRTAF66g,2,0,1.0,3.5
VxgjMl8tQrT4idJW_z8daA,0,0,,4.0
6WDDksGLLehfQDIvQXzR5w,0,0,,4.0
Se63tFm5tLlO5wuUlyww8Q,41,4,0.9111111111111111,3.0
pkEYhukWbbnvfhcx5B_qmg,10,1,0.9090909090909091,3.0
0i9S0BejjRv0ZDwdO9XymA,11,0,1.0,4.5
AoW2A9bi4g_0AS2uKOPLUw,1,2,0.3333333333333333,4.0
lMx29wnA8FxJMcDoME_VoQ,7,0,1.0,2.5
whAwdYVty-jSNRhrYT2zHA,55,3,0.9482758620689655,4.0
1FDhJNAuPXRGbMi9x0muGA,19,1,0.95,3.5
4IXTkqYmAO4XH4nXnwc67w,1,0,1.0,4.0
aPwWn5KBNMOEYjlYwXRORw,0,0,,3.5
7ULRdJfVo2-Og5ZoGOECFg,0,0,,3.5
SgPfkKWoG-23WMWQCT8ymg,0,0,,4.0
u9R0_pvEkl7QGPJYH3j1sg,2,0,1.0,4.0
5cXym2kMtJgKeaxdF2SrJA,5,1,0.8333333333333334,3.0
VPcFNI-6HICR5SJM--KjNA,0,0,,4.0
xLy3aWEbtpoUSVdjuHBS0A,0,0,,3.5
Wht6JaY_yLIb3usuPvSulA,0,0,,3.0
aLIJSHJfLQuFu3CamjOS2Q,1,0,1.0,4.5
hm5Tgbj-IWQqe-ImqnBaNg,3,0,1.0,3.5
wcYar8rgLFA7Mu3wJUqEgQ,0,0,,3.0
YstdDnNa6h_ms3Ys7Pz4uQ,0,0,,4.0
3TRgD3KLVis61eGvMZrykA,1,0,1.0,4.0
iPyhXWQ2LVSgBlQA4vqKJw,22,5,0.8148148148148148,3.0
jmeDvVx3wzCBlTBN7XNb-Q,7,1,0.875,3.5
QkG3KUXwqZBW18A9k1xqCA,0,0,,3.0
8rzIvM4Q596MI2pVlp67BA,0,0,,3.5
QARy4UUOQogMjDp9jP-YVg,2,0,1.0,3.5
u5wmbtWjMyaiJpAbP2xoEw,9,0,1.0,3.5
mBU4G-eh-GN2Tp1X-uLb3A,1,0,1.0,4.0
SXnXItivyE3i3FQbydak-A,0,0,,3.5
Q4RSmF0s-AkaegrLFCLEbg,2,0,1.0,4.0
frbjknDtv8zXaA1H4XEfYg,1,0,1.0,3.5
bbFjlDYqeZvHFfitD9nFIg,0,0,,3.0
Tc511yME8axDPq2J6woxkg,2,0,1.0,4.5
SVMR0kRmdd-bbSNTTECJBA,2,1,0.6666666666666666,4.0
8keN8Z2sylAEXgMCJMQpDg,5,1,0.8333333333333334,4.0
iP3E7Nl_cGA3xWCORkoLGw,3,0,1.0,3.5
XbooiPex1pWSy_pfPlavnQ,0,0,,3.0
ndE42tcNzqjSEW_Ciz2BOw,5,0,1.0,4.0
JR2ma-JU1CO_xVD_p5-RPw,37,10,0.7872340425531915,3.0
4ugJ4F8jDJ9-2dEiZ47wLg,1,0,1.0,4.0
uNjoyF_qlLqOSEEYVpTkLg,2,0,1.0,3.5
cJzv3fbd7jL2ZHyFosFkOw,8,1,0.8888888888888888,4.0
FkUcjHK7oQJIvZtUGjDxMQ,0,0,,3.5
VOYaepRuVcE6FCPJsbXCJw,0,0,,4.0
2wFSVah7gU9ImNuBHwIaDg,3,0,1.0,4.0
ASC3JV2Jh09lTyJZ98UMFA,0,0,,4.0
vEwazCciremwBgkRJgfXtw,2,1,0.6666666666666666,4.0
aMR9D5NnpQ3rjtxXt8ZBpw,0,0,,4.0
Qe71AVaQZW9EbATLpCec0Q,0,0,,3.5
9P23-V64kYz3trn9ecaJJA,4,0,1.0,5.0
