business_id,positive,negative,proportion,stars
nsNONDHbV7Vudqh21uicqw,2,0,1.0,3.5
F06m2yQSPHIrb1IT7heYeQ,1,0,1.0,4.0
c_FTil8s5PS2l_YJDQAXhA,0,0,,4.0
vAbRNF0hJt91oCUpm_sdKw,1,0,1.0,3.5
z8H4Mdzl4jS9pYswj6Jf9w,3,0,1.0,3.5
Ouh38adC9WbCRSSyYGtL3Q,1,0,1.0,3.0
ZCXjNG1EBFiKKMtR9DOTGg,1,0,1.0,4.0
arv3T_av9OoVo3SvxV4TXw,4,1,0.8,4.5
hCsJv234v62MgdsUU1j8dQ,3,0,1.0,3.5
M18VeJ8ck6Njw_pnyaRxOQ,0,0,,3.5
QUjJmpTQvGus8WfYq1dtOw,1,0,1.0,4.0
hTdJAjSZtHWwqqh5cCeAfA,0,0,,3.0
i7_JPit-2kAbtRTLkic2jA,0,0,,4.0
Ib2-QQytp9eqwaOgY_zeYw,0,0,,4.0
4gwh0q7JsdzHIm_pdYUlZg,13,0,1.0,4.5
uRybQLCYWkC6N19MhaHf_w,4,0,1.0,4.5
S-oLPRdhlyL5HAknBKTUcQ,20,1,0.9523809523809523,4.5
LYWbyu1EQM2o5hwHG5_Ldg,54,0,1.0,3.5
TSGBM2z5BTeJvYQAznz8Fg,1,0,1.0,3.5
rvnTFEq7R2ZHg0_CYbBNFw,1,0,1.0,3.5
78hGCrQ6wLA2yh8zMywnmw,0,0,,3.5
4v7dr2o5qXsHVGh9tM1KLA,0,0,,4.0
YyY4DFr-OFtpN2ThrLHTAQ,0,0,,3.0
5WOE18ldtQ1U0MK5fN2HGQ,0,0,,4.0
h36qA5gnNTgByhxWx1aH-Q,1,0,1.0,3.5
I6oxEn1HT41S2GPrDKPPvA,0,0,,3.0
X7BA_EijhAWYCNuMiyNgHw,0,0,,4.5
XThAmlwDIKoaG6IKrmuLyQ,0,0,,3.0
W7hCuNdn2gzehta6eSHzgQ,0,0,,2.0
lkM72Y21bjBqUGaW7iL7tQ,0,0,,3.0
7HrCELR6uv2HkgL7aT_hcQ,0,0,,4.0
agWZA6ajLvu6MfFySNBzZw,0,0,,3.5
kLw_FmSiEqYH-MtFhDIUFQ,2,0,1.0,3.5
TXiEgINSZ75d3EtvLvkc4Q,0,0,,3.0
Ak08F6RqjHYmVCzweBbTrQ,4,0,1.0,3.5
vx4YAA02Qz6khRD1fZ1MFA,4,0,1.0,3.5
YRyYbOSwvHkZsZOLv98oQg,6,0,1.0,4.0
M9zu5KTyVwVC-45Mn8Wp0g,0,0,,4.0
ibFdignja_hNpgCjDYP7Ug,0,0,,4.0
g-I48SaHtdIGR5ZEoVeNFw,3,0,1.0,3.5
dyq9my28t5NW8N-6s8OgfA,1,0,1.0,3.5
wZvSsHFU0NdyQ03625kh6g,0,0,,3.5
BJW6rCMoWcn8fDFhbMVyEQ,0,0,,4.0
ibkwcLZwaJ1pnPJVaI_-uA,0,0,,4.0
7OANCScfnOAGFsy-yuVjLA,0,0,,4.5
bQ_wtZvMb__OhprY5bF9aQ,0,0,,4.0
3dw6xhzG08htY5HcL2OjeA,0,0,,3.5
_LL6zdQBWKIAbNKeg3uBFA,0,0,,3.5
2VtTzskzFcwVnXgGYsY1lQ,0,0,,3.5
LrxDRg8SQdgHMoz3TSAYFg,2,0,1.0,3.0
EhuKnhTKJTm_EZ_QGe7PvQ,1,0,1.0,3.5
cemMv5hvZZPj-_1V4xT9rQ,1,0,1.0,4.5
IfUkm42SB9D0m_ZbkQ711A,0,0,,4.0
viB8KE-lqVzuaeyh6M4Xhw,0,0,,3.0
d1_Ko1DQ4QyB9BjnCFjVLw,1,0,1.0,3.5
krysT2aEJWNoEUYFF7JmkA,0,0,,3.5
RZFryvOkznd4jtpj8PbSzg,1,0,1.0,4.0
LV-oONzEA22qiBEFK1sckA,5,1,0.8333333333333334,3.5
AtxhcA7jzbAktzxvo0qYIw,1,0,1.0,2.5
p3YqOYELqXtLyHz9T49p_w,0,0,,4.0
k2nKYEvhEFprPxqQfTxDuQ,0,0,,4.0
IEJFia0wQX7UezfXsenI5g,0,0,,2.5
cfSuc4q7pQLF28mMbx1MRg,0,0,,4.0
Fwt0ia7H80q_mHLvrf1gzQ,0,0,,3.0
ovtlrcsVRlgZZQUlHs_ovw,8,0,1.0,3.5
NXN_rVXsvJJVgm47k99Gtw,7,0,1.0,4.5
7ra_3K_ZebXNjMpaC6yVow,2,0,1.0,4.0
u4sTiCzVeIHZY8OlaL346Q,4,0,1.0,4.5
Mi5uhdFB9OJteXPd0_IKfw,3,0,1.0,3.5
Plgl3kUGQHGqaZ-DESTYCA,0,0,,4.0
aKEEQqL1UFMieilnylI1gw,24,1,0.96,3.5
bvGdqJ-SeGdIHX-HEabwlg,2,0,1.0,4.5
WVCSiyXjEORiWEet8asURA,0,0,,3.5
5QNXZcclknB2PkfeN7FJWQ,1,0,1.0,4.0
LPCFfrQow0kl7EABuM7VDA,0,0,,4.0
utC9M5BetVY6GECRyZeLEw,0,0,,4.0
fdS9moyk-R84-DgY5xrCRg,1,0,1.0,3.0
COgwFthJpS4We16W5Gf4lw,2,0,1.0,4.0
dPxZI9lrKTl5dvFfnb1_Ig,1,0,1.0,4.5
Y1WIH4jstH846oWcDnoZLw,0,0,,4.0
ghDNHpqETRJGxG5iUtaZtw,0,0,,3.5
MNaPOkqm2vKeNG8EqkZWCg,0,0,,3.5
qpcZSHPLb8gTCI2T0XSYsA,1,1,0.5,4.0
tQm5R5UsWBzxsOGLPjfLJQ,0,0,,3.5
EHIUp6lUabQCtQ4SVZitQw,0,0,,4.0
Snfb8_wVuswY0IdWgoWAKw,0,0,,3.5
wT1mRdUeZRNgMB81s3dJDw,0,0,,3.5
3u4AsqA8glBmGuxtNx5mdQ,0,0,,3.5
i1Xkm22_96GNVVOXSUoL0A,0,0,,3.5
vJvEKFtQ8Am95tWEkiwOGA,2,0,1.0,4.0
Zsz_dLOEwihJHvMTK9a8Vg,0,0,,4.5
ZIUs7gncPOX0OXr1ZYviAQ,2,0,1.0,3.5
6ZMrT3rIB2XedgZ4SBu9sQ,1,0,1.0,4.0
ieMz5kx4JFm0g0bmPzCC-A,0,0,,3.0
pa2Y633N7lG7SHCIriE8GQ,0,0,,3.0
jfmyj519pg2flxGEQ2xdPg,3,0,1.0,3.5
id0K2DhGNocMRMoBcvCsyg,0,0,,4.5
YavRvjbLsvh4DYDJPAfJIA,0,0,,3.5
Wg4jlAgOUB51aX1c3ex9GQ,1,0,1.0,4.0
tSzIHI6ioblP1WEQAQNbhw,0,0,,3.5
7ABOYoF6DeUnX-jTYH14wA,0,0,,3.5
uU8up3hGwW9qnzQD1HZsMQ,1,0,1.0,3.5
ym5FOqL6tGbgynzwKMHZuw,0,0,,3.5
faTB5Lg-blm8MG-y6KUOrg,0,0,,4.5
QUH62pA1CN0LiuIF1pPJnQ,0,0,,4.0
PMI_22D7bl8MMI6mCqN2qQ,1,0,1.0,3.5
x9SL1nCaUYM4JP91UrVkxQ,1,0,1.0,3.5
E6tGAYZ2J1EIwCDHtVI1yg,1,0,1.0,3.5
oamNMwd8kKOmrTu3C6qOeg,0,0,,3.5
THsmhy9NXI6WOEhVnrv01A,2,0,1.0,3.5
