business_id,positive,negative,proportion,stars
nsNONDHbV7Vudqh21uicqw,102,15,0.8717948717948718,3.5
F06m2yQSPHIrb1IT7heYeQ,70,1,0.9859154929577465,4.0
c_FTil8s5PS2l_YJDQAXhA,9,0,1.0,4.0
vAbRNF0hJt91oCUpm_sdKw,13,1,0.9285714285714286,3.5
z8H4Mdzl4jS9pYswj6Jf9w,54,4,0.9310344827586207,3.5
Ouh38adC9WbCRSSyYGtL3Q,44,1,0.9777777777777777,3.0
ZCXjNG1EBFiKKMtR9DOTGg,84,2,0.9767441860465116,4.0
arv3T_av9OoVo3SvxV4TXw,29,0,1.0,4.5
hCsJv234v62MgdsUU1j8dQ,23,6,0.7931034482758621,3.5
M18VeJ8ck6Njw_pnyaRxOQ,12,0,1.0,3.5
QUjJmpTQvGus8WfYq1dtOw,27,2,0.9310344827586207,4.0
hTdJAjSZtHWwqqh5cCeAfA,12,0,1.0,3.0
i7_JPit-2kAbtRTLkic2jA,13,1,0.9285714285714286,4.0
Ib2-QQytp9eqwaOgY_zeYw,12,1,0.9230769230769231,4.0
4gwh0q7JsdzHIm_pdYUlZg,43,1,0.9772727272727273,4.5
uRybQLCYWkC6N19MhaHf_w,107,4,0.963963963963964,4.5
S-oLPRdhlyL5HAknBKTUcQ,127,11,0.9202898550724637,4.5
LYWbyu1EQM2o5hwHG5_Ldg,188,24,0.8867924528301887,3.5
TSGBM2z5BTeJvYQAznz8Fg,67,7,0.9054054054054054,3.5
rvnTFEq7R2ZHg0_CYbBNFw,153,14,0.9161676646706587,3.5
78hGCrQ6wLA2yh8zMywnmw,82,7,0.9213483146067416,3.5
4v7dr2o5qXsHVGh9tM1KLA,31,1,0.96875,4.0
YyY4DFr-OFtpN2ThrLHTAQ,11,2,0.8461538461538461,3.0
5WOE18ldtQ1U0MK5fN2HGQ,13,0,1.0,4.0
h36qA5gnNTgByhxWx1aH-Q,27,4,0.8709677419354839,3.5
I6oxEn1HT41S2GPrDKPPvA,75,13,0.8522727272727273,3.0
X7BA_EijhAWYCNuMiyNgHw,9,1,0.9,4.5
XThAmlwDIKoaG6IKrmuLyQ,12,1,0.9230769230769231,3.0
W7hCuNdn2gzehta6eSHzgQ,9,10,0.47368421052631576,2.0
lkM72Y21bjBqUGaW7iL7tQ,18,2,0.9,3.0
7HrCELR6uv2HkgL7aT_hcQ,31,0,1.0,4.0
agWZA6ajLvu6MfFySNBzZw,7,0,1.0,3.5
kLw_FmSiEqYH-MtFhDIUFQ,28,2,0.9333333333333333,3.5
TXiEgINSZ75d3EtvLvkc4Q,13,2,0.8666666666666667,3.0
Ak08F6RqjHYmVCzweBbTrQ,146,8,0.948051948051948,3.5
vx4YAA02Qz6khRD1fZ1MFA,332,22,0.9378531073446328,3.5
