business_id,positive,negative,proportion,stars
nsNONDHbV7Vudqh21uicqw,32,5,0.8648648648648649,3.5
F06m2yQSPHIrb1IT7heYeQ,11,0,1.0,4.0
c_FTil8s5PS2l_YJDQAXhA,5,0,1.0,4.0
vAbRNF0hJt91oCUpm_sdKw,9,2,0.8181818181818182,3.5
z8H4Mdzl4jS9pYswj6Jf9w,13,2,0.8666666666666667,3.5
Ouh38adC9WbCRSSyYGtL3Q,14,2,0.875,3.0
ZCXjNG1EBFiKKMtR9DOTGg,19,1,0.95,4.0
arv3T_av9OoVo3SvxV4TXw,21,0,1.0,4.5
hCsJv234v62MgdsUU1j8dQ,18,7,0.72,3.5
M18VeJ8ck6Njw_pnyaRxOQ,5,0,1.0,3.5
QUjJmpTQvGus8WfYq1dtOw,4,0,1.0,4.0
hTdJAjSZtHWwqqh5cCeAfA,3,0,1.0,3.0
i7_JPit-2kAbtRTLkic2jA,4,1,0.8,4.0
Ib2-QQytp9eqwaOgY_zeYw,3,0,1.0,4.0
4gwh0q7JsdzHIm_pdYUlZg,16,0,1.0,4.5
uRybQLCYWkC6N19MhaHf_w,14,0,1.0,4.5
S-oLPRdhlyL5HAknBKTUcQ,105,6,0.9459459459459459,4.5
LYWbyu1EQM2o5hwHG5_Ldg,91,21,0.8125,3.5
TSGBM2z5BTeJvYQAznz8Fg,20,2,0.9090909090909091,3.5
rvnTFEq7R2ZHg0_CYbBNFw,96,6,0.9411764705882353,3.5
78hGCrQ6wLA2yh8zMywnmw,25,3,0.8928571428571429,3.5
4v7dr2o5qXsHVGh9tM1KLA,3,1,0.75,4.0
YyY4DFr-OFtpN2ThrLHTAQ,2,1,0.6666666666666666,3.0
5WOE18ldtQ1U0MK5fN2HGQ,2,0,1.0,4.0
h36qA5gnNTgByhxWx1aH-Q,18,2,0.9,3.5
I6oxEn1HT41S2GPrDKPPvA,46,6,0.8846153846153846,3.0
X7BA_EijhAWYCNuMiyNgHw,7,0,1.0,4.5
XThAmlwDIKoaG6IKrmuLyQ,5,2,0.7142857142857143,3.0
W7hCuNdn2gzehta6eSHzgQ,2,2,0.5,2.0
lkM72Y21bjBqUGaW7iL7tQ,12,0,1.0,3.0
7HrCELR6uv2HkgL7aT_hcQ,6,2,0.75,4.0
agWZA6ajLvu6MfFySNBzZw,3,2,0.6,3.5
kLw_FmSiEqYH-MtFhDIUFQ,8,0,1.0,3.5
TXiEgINSZ75d3EtvLvkc4Q,3,1,0.75,3.0
