business_id,positive,negative,proportion,stars
nsNONDHbV7Vudqh21uicqw,94,21,0.8173913043478261,3.5
F06m2yQSPHIrb1IT7heYeQ,13,3,0.8125,4.0
c_FTil8s5PS2l_YJDQAXhA,13,1,0.9285714285714286,4.0
vAbRNF0hJt91oCUpm_sdKw,20,7,0.7407407407407407,3.5
z8H4Mdzl4jS9pYswj6Jf9w,34,2,0.9444444444444444,3.5
Ouh38adC9WbCRSSyYGtL3Q,15,15,0.5,3.0
ZCXjNG1EBFiKKMtR9DOTGg,64,13,0.8311688311688312,4.0
arv3T_av9OoVo3SvxV4TXw,34,5,0.8717948717948718,4.5
hCsJv234v62MgdsUU1j8dQ,56,4,0.9333333333333333,3.5
M18VeJ8ck6Njw_pnyaRxOQ,6,2,0.75,3.5
QUjJmpTQvGus8WfYq1dtOw,4,5,0.4444444444444444,4.0
hTdJAjSZtHWwqqh5cCeAfA,17,4,0.8095238095238095,3.0
i7_JPit-2kAbtRTLkic2jA,15,4,0.7894736842105263,4.0
Ib2-QQytp9eqwaOgY_zeYw,0,0,,4.0
4gwh0q7JsdzHIm_pdYUlZg,22,2,0.9166666666666666,4.5
uRybQLCYWkC6N19MhaHf_w,40,4,0.9090909090909091,4.5
S-oLPRdhlyL5HAknBKTUcQ,201,15,0.9305555555555556,4.5
LYWbyu1EQM2o5hwHG5_Ldg,184,44,0.8070175438596491,3.5
TSGBM2z5BTeJvYQAznz8Fg,25,6,0.8064516129032258,3.5
rvnTFEq7R2ZHg0_CYbBNFw,45,9,0.8333333333333334,3.5
78hGCrQ6wLA2yh8zMywnmw,51,6,0.8947368421052632,3.5
4v7dr2o5qXsHVGh9tM1KLA,24,1,0.96,4.0
YyY4DFr-OFtpN2ThrLHTAQ,16,1,0.9411764705882353,3.0
5WOE18ldtQ1U0MK5fN2HGQ,10,0,1.0,4.0
h36qA5gnNTgByhxWx1aH-Q,15,5,0.75,3.5
I6oxEn1HT41S2GPrDKPPvA,39,29,0.5735294117647058,3.0
X7BA_EijhAWYCNuMiyNgHw,20,1,0.9523809523809523,4.5
XThAmlwDIKoaG6IKrmuLyQ,1,2,0.3333333333333333,3.0
W7hCuNdn2gzehta6eSHzgQ,2,4,0.3333333333333333,2.0
lkM72Y21bjBqUGaW7iL7tQ,19,6,0.76,3.0
7HrCELR6uv2HkgL7aT_hcQ,26,4,0.8666666666666667,4.0
agWZA6ajLvu6MfFySNBzZw,4,1,0.8,3.5
kLw_FmSiEqYH-MtFhDIUFQ,16,2,0.8888888888888888,3.5
TXiEgINSZ75d3EtvLvkc4Q,12,1,0.9230769230769231,3.0
Ak08F6RqjHYmVCzweBbTrQ,110,27,0.8029197080291971,3.5
vx4YAA02Qz6khRD1fZ1MFA,156,72,0.6842105263157895,3.5
YRyYbOSwvHkZsZOLv98oQg,210,35,0.8571428571428571,4.0
M9zu5KTyVwVC-45Mn8Wp0g,32,8,0.8,4.0
ibFdignja_hNpgCjDYP7Ug,47,11,0.8103448275862069,4.0
g-I48SaHtdIGR5ZEoVeNFw,54,34,0.6136363636363636,3.5
dyq9my28t5NW8N-6s8OgfA,27,2,0.9310344827586207,3.5
wZvSsHFU0NdyQ03625kh6g,31,10,0.7560975609756098,3.5
BJW6rCMoWcn8fDFhbMVyEQ,31,3,0.9117647058823529,4.0
ibkwcLZwaJ1pnPJVaI_-uA,27,2,0.9310344827586207,4.0
7OANCScfnOAGFsy-yuVjLA,5,0,1.0,4.5
bQ_wtZvMb__OhprY5bF9aQ,52,5,0.9122807017543859,4.0
3dw6xhzG08htY5HcL2OjeA,34,6,0.85,3.5
_LL6zdQBWKIAbNKeg3uBFA,8,3,0.7272727272727273,3.5
2VtTzskzFcwVnXgGYsY1lQ,15,0,1.0,3.5
LrxDRg8SQdgHMoz3TSAYFg,31,24,0.5636363636363636,3.0
EhuKnhTKJTm_EZ_QGe7PvQ,69,14,0.8313253012048193,3.5
cemMv5hvZZPj-_1V4xT9rQ,15,1,0.9375,4.5
IfUkm42SB9D0m_ZbkQ711A,10,0,1.0,4.0
viB8KE-lqVzuaeyh6M4Xhw,3,2,0.6,3.0
d1_Ko1DQ4QyB9BjnCFjVLw,37,4,0.9024390243902439,3.5
krysT2aEJWNoEUYFF7JmkA,10,5,0.6666666666666666,3.5
RZFryvOkznd4jtpj8PbSzg,70,19,0.7865168539325843,4.0
LV-oONzEA22qiBEFK1sckA,60,17,0.7792207792207793,3.5
AtxhcA7jzbAktzxvo0qYIw,6,3,0.6666666666666666,2.5
p3YqOYELqXtLyHz9T49p_w,122,21,0.8531468531468531,4.0
k2nKYEvhEFprPxqQfTxDuQ,13,3,0.8125,4.0
IEJFia0wQX7UezfXsenI5g,9,5,0.6428571428571429,2.5
cfSuc4q7pQLF28mMbx1MRg,39,2,0.9512195121951219,4.0
Fwt0ia7H80q_mHLvrf1gzQ,16,6,0.7272727272727273,3.0
ovtlrcsVRlgZZQUlHs_ovw,65,15,0.8125,3.5
NXN_rVXsvJJVgm47k99Gtw,28,4,0.875,4.5
7ra_3K_ZebXNjMpaC6yVow,34,3,0.918918918918919,4.0
u4sTiCzVeIHZY8OlaL346Q,111,8,0.9327731092436975,4.5
Mi5uhdFB9OJteXPd0_IKfw,38,6,0.8636363636363636,3.5
Plgl3kUGQHGqaZ-DESTYCA,8,0,1.0,4.0
aKEEQqL1UFMieilnylI1gw,132,26,0.8354430379746836,3.5
bvGdqJ-SeGdIHX-HEabwlg,60,0,1.0,4.5
WVCSiyXjEORiWEet8asURA,4,2,0.6666666666666666,3.5
5QNXZcclknB2PkfeN7FJWQ,65,3,0.9558823529411765,4.0
LPCFfrQow0kl7EABuM7VDA,31,10,0.7560975609756098,4.0
utC9M5BetVY6GECRyZeLEw,22,1,0.9565217391304348,4.0
fdS9moyk-R84-DgY5xrCRg,3,3,0.5,3.0
COgwFthJpS4We16W5Gf4lw,48,6,0.8888888888888888,4.0
dPxZI9lrKTl5dvFfnb1_Ig,81,3,0.9642857142857143,4.5
Y1WIH4jstH846oWcDnoZLw,21,2,0.9130434782608695,4.0
ghDNHpqETRJGxG5iUtaZtw,43,7,0.86,3.5
MNaPOkqm2vKeNG8EqkZWCg,69,7,0.9078947368421053,3.5
qpcZSHPLb8gTCI2T0XSYsA,75,15,0.8333333333333334,4.0
tQm5R5UsWBzxsOGLPjfLJQ,38,16,0.7037037037037037,3.5
EHIUp6lUabQCtQ4SVZitQw,35,5,0.875,4.0
Snfb8_wVuswY0IdWgoWAKw,11,1,0.9166666666666666,3.5
wT1mRdUeZRNgMB81s3dJDw,8,2,0.8,3.5
3u4AsqA8glBmGuxtNx5mdQ,7,5,0.5833333333333334,3.5
i1Xkm22_96GNVVOXSUoL0A,40,11,0.7843137254901961,3.5
vJvEKFtQ8Am95tWEkiwOGA,91,17,0.8425925925925926,4.0
Zsz_dLOEwihJHvMTK9a8Vg,7,0,1.0,4.5
ZIUs7gncPOX0OXr1ZYviAQ,57,8,0.8769230769230769,3.5
6ZMrT3rIB2XedgZ4SBu9sQ,24,1,0.96,4.0
ieMz5kx4JFm0g0bmPzCC-A,3,0,1.0,3.0
pa2Y633N7lG7SHCIriE8GQ,17,4,0.8095238095238095,3.0
jfmyj519pg2flxGEQ2xdPg,86,11,0.8865979381443299,3.5
id0K2DhGNocMRMoBcvCsyg,25,0,1.0,4.5
YavRvjbLsvh4DYDJPAfJIA,88,31,0.7394957983193278,3.5
Wg4jlAgOUB51aX1c3ex9GQ,30,2,0.9375,4.0
tSzIHI6ioblP1WEQAQNbhw,11,4,0.7333333333333333,3.5
7ABOYoF6DeUnX-jTYH14wA,21,7,0.75,3.5
uU8up3hGwW9qnzQD1HZsMQ,12,1,0.9230769230769231,3.5
ym5FOqL6tGbgynzwKMHZuw,104,27,0.7938931297709924,3.5
faTB5Lg-blm8MG-y6KUOrg,6,1,0.8571428571428571,4.5
QUH62pA1CN0LiuIF1pPJnQ,14,0,1.0,4.0
PMI_22D7bl8MMI6mCqN2qQ,22,7,0.7586206896551724,3.5
