business_id,positive,negative,proportion,stars
nsNONDHbV7Vudqh21uicqw,9,2,0.8181818181818182,3.5
F06m2yQSPHIrb1IT7heYeQ,3,1,0.75,4.0
c_FTil8s5PS2l_YJDQAXhA,1,0,1.0,4.0
vAbRNF0hJt91oCUpm_sdKw,1,0,1.0,3.5
z8H4Mdzl4jS9pYswj6Jf9w,4,0,1.0,3.5
Ouh38adC9WbCRSSyYGtL3Q,4,1,0.8,3.0
ZCXjNG1EBFiKKMtR9DOTGg,5,1,0.8333333333333334,4.0
arv3T_av9OoVo3SvxV4TXw,3,1,0.75,4.5
hCsJv234v62MgdsUU1j8dQ,2,0,1.0,3.5
M18VeJ8ck6Njw_pnyaRxOQ,2,0,1.0,3.5
QUjJmpTQvGus8WfYq1dtOw,0,0,,4.0
hTdJAjSZtHWwqqh5cCeAfA,2,0,1.0,3.0
i7_JPit-2kAbtRTLkic2jA,2,0,1.0,4.0
Ib2-QQytp9eqwaOgY_zeYw,0,0,,4.0
4gwh0q7JsdzHIm_pdYUlZg,3,0,1.0,4.5
uRybQLCYWkC6N19MhaHf_w,3,3,0.5,4.5
S-oLPRdhlyL5HAknBKTUcQ,16,0,1.0,4.5
LYWbyu1EQM2o5hwHG5_Ldg,12,2,0.8571428571428571,3.5
TSGBM2z5BTeJvYQAznz8Fg,8,0,1.0,3.5
rvnTFEq7R2ZHg0_CYbBNFw,6,2,0.75,3.5
78hGCrQ6wLA2yh8zMywnmw,0,0,,3.5
4v7dr2o5qXsHVGh9tM1KLA,2,0,1.0,4.0
YyY4DFr-OFtpN2ThrLHTAQ,4,0,1.0,3.0
5WOE18ldtQ1U0MK5fN2HGQ,0,0,,4.0
h36qA5gnNTgByhxWx1aH-Q,6,0,1.0,3.5
I6oxEn1HT41S2GPrDKPPvA,3,1,0.75,3.0
X7BA_EijhAWYCNuMiyNgHw,0,0,,4.5
XThAmlwDIKoaG6IKrmuLyQ,2,0,1.0,3.0
W7hCuNdn2gzehta6eSHzgQ,0,0,,2.0
lkM72Y21bjBqUGaW7iL7tQ,2,0,1.0,3.0
7HrCELR6uv2HkgL7aT_hcQ,0,0,,4.0
agWZA6ajLvu6MfFySNBzZw,0,0,,3.5
kLw_FmSiEqYH-MtFhDIUFQ,8,0,1.0,3.5
TXiEgINSZ75d3EtvLvkc4Q,3,0,1.0,3.0
Ak08F6RqjHYmVCzweBbTrQ,20,2,0.9090909090909091,3.5
vx4YAA02Qz6khRD1fZ1MFA,8,2,0.8,3.5
YRyYbOSwvHkZsZOLv98oQg,7,1,0.875,4.0
M9zu5KTyVwVC-45Mn8Wp0g,0,0,,4.0
ibFdignja_hNpgCjDYP7Ug,1,0,1.0,4.0
g-I48SaHtdIGR5ZEoVeNFw,12,2,0.8571428571428571,3.5
dyq9my28t5NW8N-6s8OgfA,4,2,0.6666666666666666,3.5
wZvSsHFU0NdyQ03625kh6g,3,0,1.0,3.5
BJW6rCMoWcn8fDFhbMVyEQ,2,0,1.0,4.0
ibkwcLZwaJ1pnPJVaI_-uA,1,0,1.0,4.0
7OANCScfnOAGFsy-yuVjLA,0,0,,4.5
bQ_wtZvMb__OhprY5bF9aQ,0,0,,4.0
3dw6xhzG08htY5HcL2OjeA,3,0,1.0,3.5
_LL6zdQBWKIAbNKeg3uBFA,1,1,0.5,3.5
2VtTzskzFcwVnXgGYsY1lQ,0,0,,3.5
LrxDRg8SQdgHMoz3TSAYFg,4,1,0.8,3.0
EhuKnhTKJTm_EZ_QGe7PvQ,8,2,0.8,3.5
cemMv5hvZZPj-_1V4xT9rQ,1,0,1.0,4.5
IfUkm42SB9D0m_ZbkQ711A,0,0,,4.0
viB8KE-lqVzuaeyh6M4Xhw,0,0,,3.0
